state_code,biden,trump,type,winner
PA,943.0,781.0,purple,biden
SD,14.0,11.0,red,trump
KS,161.0,153.0,red,trump
IN,256.0,231.0,red,trump
OH,619.0,566.0,red,contentious
ID,60.0,57.0,red,trump
AK,53.0,47.0,red,trump
NV,374.0,356.0,purple,contentious
NM,104.0,87.0,purple,contentious
OK,167.0,147.0,red,trump
WV,65.0,64.0,red,trump
MT,35.0,33.0,red,trump
MN,281.0,252.0,purple,contentious
MO,305.0,275.0,red,trump
VA,358.0,335.0,purple,contentious
DE,56.0,42.0,blue,biden
FL,2041.0,1924.0,purple,contentious
TX,2462.0,2281.0,red,contentious
SC,175.0,187.0,red,trump
ND,52.0,43.0,red,trump
TN,417.0,399.0,red,contentious
ME,62.0,63.0,blue,biden
NH,79.0,67.0,purple,contentious
LA,202.0,203.0,red,trump
IL,1029.0,870.0,blue,biden
NY,3187.0,2753.0,blue,biden
IA,146.0,119.0,red,trump
VT,46.0,31.0,blue,biden
WY,30.0,33.0,red,trump
RI,59.0,55.0,blue,biden
AZ,517.0,474.0,purple,contentious
AR,89.0,75.0,red,trump
DC,943.0,801.0,blue,biden
HI,95.0,96.0,blue,biden
MI,527.0,459.0,purple,biden
NJ,614.0,539.0,blue,biden
MD,345.0,283.0,blue,biden
AL,174.0,171.0,red,trump
UT,126.0,118.0,red,trump
OR,359.0,292.0,blue,biden
NE,74.0,60.0,red,trump
NC,605.0,539.0,purple,biden
WI,266.0,247.0,purple,contentious
WA,439.0,371.0,blue,biden
MS,63.0,62.0,red,trump
CT,183.0,168.0,blue,biden
CO,430.0,382.0,purple,biden
GA,579.0,512.0,purple,biden
KY,250.0,226.0,red,trump
CA,4427.0,3832.0,blue,biden
MA,616.0,513.0,blue,biden
