state_code,biden,trump,type,winner,e_vote
AL,173.81129978526587,164.25926962013182,red,trump,9
MT,33.096740851142386,33.13491588472971,red,trump,3
AK,50.136044243350625,47.38226458602003,red,trump,3
NE,66.6978397986386,62.47315927816089,red,trump,5
AZ,486.9142812288701,468.38447449296655,purple,contentious,11
NV,353.5146895432481,333.9750915768891,purple,contentious,6
AR,90.50249046459794,73.71820023444889,red,trump,6
NH,76.65705931477714,68.57721103756921,purple,contentious,4
CA,4261.726548572449,3693.4446268227257,blue,biden,55
NJ,598.9661187475431,531.1637287468839,blue,biden,14
CO,421.625657148601,373.47489402542124,purple,biden,9
NM,93.92967149510514,88.68399929179577,purple,contentious,5
CT,172.53269892858225,157.14729904475098,blue,biden,7
NY,3055.793792941273,2638.7961691572964,blue,biden,29
DE,50.06935305020306,41.52724958118051,blue,biden,3
NC,574.9912101448135,516.0133629908669,purple,biden,15
DC,902.7585602444015,783.3740477578613,blue,biden,3
ND,48.66178095899522,42.138173028826714,red,trump,3
FL,1968.425590654937,1832.9141619113361,purple,contentious,29
OH,595.6121750043967,551.7821778555299,red,contentious,18
GA,546.4524269662143,488.1778946027989,purple,biden,16
OK,152.23585143405944,142.91361027193489,red,trump,7
HI,96.35782798314176,92.4442461332219,blue,biden,4
OR,348.5282425047262,286.3107602851087,blue,biden,7
ID,55.36523029196542,56.40899477456696,red,trump,4
PA,884.3181123408212,770.2981620226128,purple,biden,20
IL,972.9482916213601,852.4602711328989,blue,biden,20
RI,60.51398097909987,53.95953122206265,blue,biden,4
IN,237.96022798632475,219.15193065423955,red,trump,11
SC,177.8051378922246,176.72312387343845,red,trump,9
IA,138.65845925163012,117.31985220187198,red,trump,6
SD,13.731220349145588,12.308607243816368,red,trump,3
KS,151.7602473620791,144.62488681181276,red,trump,6
TN,403.0216203797172,388.9687010492198,red,contentious,11
KY,238.32586200629885,222.57122180776787,red,trump,8
TX,2354.044925541195,2197.1018156118735,red,contentious,38
LA,198.11085818397987,188.26285892359738,red,trump,8
UT,122.46249089195044,111.5532420926611,red,trump,6
ME,61.535504315390426,58.55784047662746,blue,biden,4
VT,42.78871218932909,31.109446646121796,blue,biden,3
MD,343.82031904443284,278.6330318712935,blue,biden,10
VA,361.4995451205177,321.28320889727183,purple,biden,13
MA,584.3987932848104,492.44031742472,blue,biden,11
WA,423.6653784590817,358.4404449208014,blue,biden,12
MI,508.4509092680455,451.9061428903369,purple,biden,16
WV,61.84619089512853,60.850879653706215,red,trump,5
MN,280.32219310743676,251.28193773553357,purple,contentious,10
WI,259.10838018127833,232.67419341218192,purple,contentious,10
MS,61.7118342758622,56.30237004929222,red,trump,6
WY,29.861224261811003,32.381871120247524,red,trump,3
MO,306.9218017641324,266.9595017306274,red,trump,10
