state_code,biden,trump,type,winner,e_vote
AL,136.0,173.0,red,trump,9
MT,23.0,34.0,red,trump,3
AK,34.0,47.0,red,trump,3
NE,106.0,33.0,red,trump,5
AZ,491.0,493.0,purple,contentious,11
NV,447.0,198.0,purple,contentious,6
AR,79.0,87.0,red,trump,6
NH,53.0,69.0,purple,contentious,4
CA,6057.0,2005.0,blue,biden,55
NJ,799.0,244.0,blue,biden,14
CO,609.0,240.0,purple,biden,9
NM,134.0,50.0,purple,contentious,5
CT,229.0,90.0,blue,biden,7
NY,4257.0,1456.0,blue,biden,29
DE,49.0,46.0,blue,biden,3
NC,812.0,286.0,purple,biden,15
DC,1262.0,362.0,blue,biden,3
ND,68.0,17.0,red,trump,3
FL,2573.0,1044.0,purple,biden,29
OH,782.0,301.0,red,biden,18
GA,506.0,528.0,purple,contentious,16
OK,124.0,150.0,red,trump,7
HI,103.0,53.0,blue,biden,4
OR,488.0,148.0,blue,biden,7
ID,82.0,21.0,red,trump,4
PA,1215.0,423.0,purple,biden,20
IL,1407.0,458.0,blue,biden,20
RI,80.0,35.0,blue,biden,4
IN,227.0,241.0,red,trump,11
SC,170.0,190.0,red,trump,9
IA,180.0,55.0,red,trump,6
SD,16.0,12.0,red,trump,3
KS,157.0,158.0,red,trump,6
TN,531.0,228.0,red,biden,11
KY,283.0,139.0,red,trump,8
TX,3183.0,1350.0,red,biden,38
LA,272.0,130.0,red,trump,8
UT,163.0,70.0,red,trump,6
ME,77.0,32.0,blue,biden,4
VT,51.0,19.0,blue,biden,3
MD,509.0,161.0,blue,biden,10
VA,511.0,194.0,purple,biden,13
MA,871.0,275.0,blue,biden,11
WA,586.0,194.0,blue,biden,12
MI,446.0,481.0,purple,contentious,16
WV,45.0,71.0,red,trump,5
MN,400.0,150.0,purple,contentious,10
WI,243.0,260.0,purple,contentious,10
MS,47.0,64.0,red,trump,6
WY,41.0,22.0,red,trump,3
MO,399.0,158.0,red,trump,10
