state_code,biden,trump,type,winner,e_vote
AL,132.37727272727273,177.11005135322574,red,trump,9
MT,23.61096256684492,35.56151515151515,red,trump,3
AK,33.55227576974565,49.27922863477375,red,trump,3
NE,99.86479021449361,33.69159544159544,red,trump,5
AZ,489.43818895061634,489.42898251756804,purple,contentious,11
NV,447.655771667258,195.69184415623403,purple,contentious,6
AR,77.57045454545455,87.12531437306106,red,trump,6
NH,54.222222222222214,73.37202048556405,purple,contentious,4
CA,5961.7617914907205,1990.0679392636282,blue,biden,55
NJ,801.6540473455786,248.07742971687463,blue,biden,14
CO,592.0650412146272,247.75321527131874,purple,biden,9
NM,131.16447448397446,49.91822344322344,purple,contentious,5
CT,228.71355096533,94.03699356199357,blue,biden,7
NY,4190.649646422211,1459.7126346005557,blue,biden,29
DE,49.17380952380953,45.92667887667888,blue,biden,3
NC,805.4508788624123,289.72161095536376,purple,biden,15
DC,1230.5338721925993,362.6587536237854,blue,biden,3
ND,70.85010683760683,17.106722106722106,red,trump,3
FL,2551.661540181556,1056.9829740296866,purple,biden,29
OH,780.3516847747968,294.5550766771355,red,biden,18
GA,510.0952646688066,532.06722593363,purple,contentious,16
OK,124.2047619047619,146.2625680485014,red,trump,7
HI,104.70716489383523,52.30681818181818,blue,biden,4
OR,467.25900523804734,153.65625261598893,blue,biden,7
ID,83.83209483673829,21.166666666666664,red,trump,4
PA,1171.2836381629877,423.7873204602645,purple,biden,20
IL,1383.66567098052,453.28796171800457,blue,biden,20
RI,75.65273109243698,33.86471861471861,blue,biden,4
IN,226.15492285492286,237.5915960546409,red,trump,11
SC,172.69548440065682,184.85634059596055,red,trump,9
IA,181.03038416106884,55.10712560386473,red,trump,6
SD,15.829365079365079,12.510588972431078,red,trump,3
KS,156.725,149.24647670753023,red,trump,6
TN,535.3987240900624,224.25443817878028,red,biden,11
KY,277.8723614314939,136.65833333333333,red,trump,8
TX,3161.775892115231,1346.551363954015,red,biden,38
LA,270.6807332180262,125.85305250305251,red,trump,8
UT,160.31157215099648,68.93397435897435,red,trump,6
ME,77.95411384613503,33.083333333333336,blue,biden,4
VT,49.83042388197399,17.833333333333336,blue,biden,3
MD,502.8783955639599,161.96852173781093,blue,biden,10
VA,501.59008928739144,186.7880411255411,purple,biden,13
MA,839.3269995668427,278.1686670911735,blue,biden,11
WA,576.4974367790578,189.3488095238095,blue,biden,12
MI,454.7918980914264,492.58761740880175,purple,contentious,16
WV,47.00238095238095,72.58157841107486,red,trump,5
MN,402.24985288243477,149.21722300955847,purple,contentious,10
WI,246.6490406162465,264.60366590382216,purple,contentious,10
MS,46.58333333333333,62.800097034218425,red,trump,6
WY,43.202189512715115,21.0,red,trump,3
MO,394.8217326541075,156.96224146224145,red,trump,10
